,Giornata,Status
0,1,Titolare
1,2,Titolare
2,3,Infortunato
3,4,Entrato
4,5,Entrato
5,6,Titolare
6,7,Entrato
7,8,Inutilizzato
8,9,Infortunato
9,10,Entrato
10,11,Titolare
11,12,Titolare
12,13,Titolare
13,14,Titolare
14,15,Squalificato
15,16,Titolare
16,17,Titolare
17,18,Titolare
18,19,Titolare
19,20,Titolare
20,21,Titolare
21,22,Inutilizzato
22,23,Titolare
23,24,Squalificato
24,25,Entrato
25,26,Titolare
26,27,Titolare
27,28,Titolare
28,29,Inutilizzato
29,30,Titolare
30,31,Inutilizzato
31,32,Infortunato
32,33,Entrato
33,34,Entrato
34,35,Titolare
35,36,Inutilizzato
36,37,Inutilizzato
37,38,Infortunato
