,Giornata,Status
0,1,Inutilizzato
1,2,Titolare
2,3,Entrato
3,4,Inutilizzato
4,5,Inutilizzato
5,6,Entrato
6,7,Entrato
7,8,Entrato
8,9,Titolare
9,10,Titolare
10,11,Entrato
11,12,Inutilizzato
12,13,Titolare
13,14,Titolare
14,15,Titolare
15,16,Titolare
16,17,Titolare
17,18,Entrato
18,19,Titolare
19,20,Titolare
20,21,Titolare
21,22,Entrato
22,23,Titolare
23,24,Titolare
24,25,Titolare
25,26,Titolare
26,27,Infortunato
27,28,Infortunato
28,29,Infortunato
29,30,Infortunato
30,31,Entrato
31,32,Entrato
32,33,Titolare
33,34,Titolare
34,35,Titolare
35,36,Entrato
36,37,Entrato
37,38,Entrato
