,Giornata,Status
0,1,Entrato
1,2,Entrato
2,3,Entrato
3,4,Entrato
4,5,Entrato
5,6,Titolare
6,7,Entrato
7,8,Entrato
8,9,Entrato
9,10,Entrato
10,11,Entrato
11,12,Titolare
12,13,Titolare
13,14,Titolare
14,15,Titolare
15,16,Infortunato
16,17,Infortunato
17,18,Infortunato
18,19,Entrato
19,20,Entrato
20,21,Inutilizzato
21,22,Inutilizzato
22,23,Inutilizzato
23,24,Entrato
24,25,Inutilizzato
25,26,Infortunato
26,27,Entrato
27,28,Inutilizzato
28,29,Entrato
29,30,Inutilizzato
30,31,Inutilizzato
31,32,Titolare
32,33,Entrato
33,34,Titolare
34,35,Titolare
35,36,Entrato
36,37,Entrato
37,38,Entrato
