,Giornata,Status
0,1,Entrato
1,2,Titolare
2,3,Titolare
3,4,Titolare
4,5,Entrato
5,6,Entrato
6,7,Entrato
7,8,Entrato
8,9,Entrato
9,10,Titolare
10,11,Entrato
11,12,Entrato
12,13,Entrato
13,14,Entrato
14,15,Entrato
15,16,Titolare
16,17,Titolare
17,18,Titolare
18,19,Entrato
19,20,Entrato
20,21,Titolare
21,22,Titolare
22,23,Titolare
23,24,Entrato
24,25,Entrato
25,26,Titolare
26,27,Entrato
27,28,Entrato
28,29,Entrato
29,30,Entrato
30,31,Entrato
31,32,Entrato
32,33,Entrato
33,34,Infortunato
34,35,Entrato
35,36,Entrato
36,37,Entrato
37,38,Titolare
