,Giornata,Status
0,1,Inutilizzato
1,2,Inutilizzato
2,3,Entrato
3,4,Titolare
4,5,Titolare
5,6,Titolare
6,7,Entrato
7,8,Titolare
8,9,Titolare
9,10,Infortunato
10,11,Infortunato
11,12,Infortunato
12,13,Infortunato
13,14,Infortunato
14,15,Infortunato
15,16,Infortunato
16,17,Infortunato
17,18,Infortunato
18,19,Infortunato
19,20,Entrato
20,21,Titolare
21,22,Inutilizzato
22,23,Infortunato
23,24,Infortunato
24,25,Infortunato
25,26,Infortunato
26,27,Infortunato
27,28,Infortunato
28,29,Infortunato
29,30,Infortunato
30,31,Infortunato
31,32,Infortunato
32,33,Infortunato
33,34,Infortunato
34,35,Infortunato
35,36,Infortunato
36,37,Infortunato
37,38,Infortunato
