,Giornata,Status
0,1,Inutilizzato
1,2,Inutilizzato
2,3,Inutilizzato
3,4,Inutilizzato
4,5,Inutilizzato
5,6,Inutilizzato
6,7,Inutilizzato
7,8,Inutilizzato
8,9,Entrato
9,10,Inutilizzato
10,11,Inutilizzato
11,12,Inutilizzato
12,13,Titolare
13,14,Titolare
14,15,Titolare
15,16,Titolare
16,17,Inutilizzato
17,18,Inutilizzato
18,19,Entrato
19,20,Titolare
20,21,Titolare
21,22,Titolare
22,23,Titolare
23,24,Titolare
24,25,Inutilizzato
25,26,Titolare
26,27,Titolare
27,28,Entrato
28,29,Inutilizzato
29,30,Titolare
30,31,Titolare
31,32,Titolare
32,33,Titolare
33,34,Titolare
34,35,Titolare
35,36,Titolare
36,37,Titolare
37,38,Titolare
