,Giornata,Status
0,1,Titolare
1,2,Titolare
2,3,Titolare
3,4,Titolare
4,5,Titolare
5,6,Entrato
6,7,Titolare
7,8,Titolare
8,9,Titolare
9,10,Titolare
10,11,Titolare
11,12,Entrato
12,13,Inutilizzato
13,14,Entrato
14,15,Entrato
15,16,Inutilizzato
16,17,Inutilizzato
17,18,Inutilizzato
18,19,Inutilizzato
19,20,Inutilizzato
20,21,Entrato
21,22,Entrato
22,23,Entrato
23,24,Inutilizzato
24,25,Inutilizzato
25,26,Titolare
26,27,Entrato
27,28,Titolare
28,29,Entrato
29,30,Inutilizzato
30,31,Entrato
31,32,Entrato
32,33,Entrato
33,34,Titolare
34,35,Inutilizzato
35,36,Inutilizzato
36,37,Entrato
37,38,Titolare
