,Giornata,Status
0,1,Entrato
1,2,Inutilizzato
2,3,Infortunato
3,4,Infortunato
4,5,Infortunato
5,6,Infortunato
6,7,Infortunato
7,8,Infortunato
8,9,Infortunato
9,10,Entrato
10,11,Inutilizzato
11,12,Titolare
12,13,Titolare
13,14,Inutilizzato
14,15,Inutilizzato
15,16,Inutilizzato
16,17,Inutilizzato
17,18,Inutilizzato
18,19,Inutilizzato
19,20,Inutilizzato
20,21,Entrato
21,22,Titolare
22,23,Titolare
23,24,Inutilizzato
24,25,Inutilizzato
25,26,Inutilizzato
26,27,Inutilizzato
27,28,Inutilizzato
28,29,Titolare
29,30,Titolare
30,31,Inutilizzato
31,32,Inutilizzato
32,33,Inutilizzato
33,34,Inutilizzato
34,35,Inutilizzato
35,36,Titolare
36,37,Inutilizzato
37,38,Inutilizzato
