,Giornata,Status
0,1,Titolare
1,2,Inutilizzato
2,3,Titolare
3,4,Infortunato
4,5,Infortunato
5,6,Entrato
6,7,Inutilizzato
7,8,Inutilizzato
8,9,Infortunato
9,10,Infortunato
10,11,Infortunato
11,12,Infortunato
12,13,Infortunato
13,14,Infortunato
14,15,Infortunato
15,16,Infortunato
16,17,Infortunato
17,18,Inutilizzato
18,19,Inutilizzato
19,20,Inutilizzato
20,21,Entrato
21,22,Inutilizzato
22,23,Entrato
23,24,Entrato
24,25,Entrato
25,26,Inutilizzato
26,27,Inutilizzato
27,28,Titolare
28,29,Titolare
29,30,Titolare
30,31,Inutilizzato
31,32,Inutilizzato
32,33,Entrato
33,34,Inutilizzato
34,35,Entrato
35,36,Entrato
36,37,Entrato
37,38,Entrato
