,Giornata,Status
0,1,Entrato
1,2,Entrato
2,3,Titolare
3,4,Entrato
4,5,Titolare
5,6,Infortunato
6,7,Infortunato
7,8,Infortunato
8,9,Infortunato
9,10,Infortunato
10,11,Infortunato
11,12,Inutilizzato
12,13,Entrato
13,14,Titolare
14,15,Entrato
15,16,Titolare
16,17,Titolare
17,18,Titolare
18,19,Titolare
19,20,Titolare
20,21,Titolare
21,22,Titolare
22,23,Entrato
23,24,Inutilizzato
24,25,Titolare
25,26,Entrato
26,27,Inutilizzato
27,28,Entrato
28,29,Titolare
29,30,Inutilizzato
30,31,Entrato
31,32,Infortunato
32,33,Infortunato
33,34,Infortunato
34,35,Infortunato
35,36,Entrato
36,37,Entrato
37,38,Entrato
