,Giornata,Status
0,1,Inutilizzato
1,2,Inutilizzato
2,3,Infortunato
3,4,Infortunato
4,5,Infortunato
5,6,Infortunato
6,7,Infortunato
7,8,Infortunato
8,9,Infortunato
9,10,Infortunato
10,11,Infortunato
11,12,Infortunato
12,13,Infortunato
13,14,Infortunato
14,15,Infortunato
15,16,Infortunato
16,17,Infortunato
17,18,Infortunato
18,19,Infortunato
19,20,Infortunato
20,21,Infortunato
21,22,Infortunato
22,23,Infortunato
23,24,Infortunato
24,25,Inutilizzato
25,26,Inutilizzato
26,27,Inutilizzato
27,28,Inutilizzato
28,29,Inutilizzato
29,30,Inutilizzato
30,31,Entrato
31,32,Inutilizzato
32,33,Inutilizzato
33,34,Inutilizzato
34,35,Inutilizzato
35,36,Inutilizzato
36,37,Entrato
37,38,Inutilizzato
