,Giornata,Status
0,1,Infortunato
1,2,Infortunato
2,3,Inutilizzato
3,4,Entrato
4,5,Entrato
5,6,Inutilizzato
6,7,Inutilizzato
7,8,Titolare
8,9,Entrato
9,10,Titolare
10,11,Inutilizzato
11,12,Inutilizzato
12,13,Entrato
13,14,Entrato
14,15,Titolare
15,16,Inutilizzato
16,17,Inutilizzato
17,18,Entrato
18,19,Inutilizzato
19,20,Entrato
20,21,Titolare
21,22,Inutilizzato
22,23,Inutilizzato
23,24,Inutilizzato
24,25,Inutilizzato
25,26,Titolare
26,27,Inutilizzato
27,28,Entrato
28,29,Inutilizzato
29,30,Inutilizzato
30,31,Entrato
31,32,Entrato
32,33,Inutilizzato
33,34,Entrato
34,35,Titolare
35,36,Inutilizzato
36,37,Entrato
37,38,Infortunato
