,Giornata,Status
0,1,Inutilizzato
1,2,Inutilizzato
2,3,Titolare
3,4,Titolare
4,5,Titolare
5,6,Titolare
6,7,Titolare
7,8,Titolare
8,9,Inutilizzato
9,10,Entrato
10,11,Entrato
11,12,Inutilizzato
12,13,Titolare
13,14,Titolare
14,15,Titolare
15,16,Infortunato
16,17,Inutilizzato
17,18,Titolare
18,19,Inutilizzato
19,20,Inutilizzato
20,21,Titolare
21,22,Infortunato
22,23,Titolare
23,24,Inutilizzato
24,25,Inutilizzato
25,26,Inutilizzato
26,27,Entrato
27,28,Inutilizzato
28,29,Inutilizzato
29,30,Inutilizzato
30,31,Inutilizzato
31,32,Inutilizzato
32,33,Entrato
33,34,Inutilizzato
34,35,Entrato
35,36,Inutilizzato
36,37,Inutilizzato
37,38,Inutilizzato
