,Giornata,Status
0,1,Inutilizzato
1,2,Inutilizzato
2,3,Inutilizzato
3,4,Inutilizzato
4,5,Inutilizzato
5,6,Inutilizzato
6,7,Inutilizzato
7,8,Inutilizzato
8,9,Entrato
9,10,Entrato
10,11,Titolare
11,12,Titolare
12,13,Entrato
13,14,Inutilizzato
14,15,Entrato
15,16,Entrato
16,17,Inutilizzato
17,18,Inutilizzato
18,19,Inutilizzato
19,20,Inutilizzato
20,21,Inutilizzato
21,22,Titolare
22,23,Inutilizzato
23,24,Inutilizzato
24,25,Inutilizzato
25,26,Entrato
26,27,Inutilizzato
27,28,Inutilizzato
28,29,Titolare
29,30,Entrato
30,31,Entrato
31,32,Titolare
32,33,Titolare
33,34,Titolare
34,35,Titolare
35,36,Titolare
36,37,Inutilizzato
37,38,Inutilizzato
