,Giornata,Status
0,1,Inutilizzato
1,2,Titolare
2,3,Inutilizzato
3,4,Inutilizzato
4,5,Entrato
5,6,Entrato
6,7,Entrato
7,8,Inutilizzato
8,9,Titolare
9,10,Inutilizzato
10,11,Inutilizzato
11,12,Entrato
12,13,Entrato
13,14,Entrato
14,15,Titolare
15,16,Titolare
16,17,Titolare
17,18,Titolare
18,19,Entrato
19,20,Inutilizzato
20,21,Inutilizzato
21,22,Inutilizzato
22,23,Infortunato
23,24,Inutilizzato
24,25,Inutilizzato
25,26,Inutilizzato
26,27,Inutilizzato
27,28,Inutilizzato
28,29,Inutilizzato
29,30,Inutilizzato
30,31,Inutilizzato
31,32,Inutilizzato
32,33,Inutilizzato
33,34,Inutilizzato
34,35,Inutilizzato
35,36,Inutilizzato
36,37,Inutilizzato
37,38,Inutilizzato
