,Giornata,Status
0,1,Infortunato
1,2,Infortunato
2,3,Inutilizzato
3,4,Inutilizzato
4,5,Inutilizzato
5,6,Inutilizzato
6,7,Inutilizzato
7,8,Inutilizzato
8,9,Inutilizzato
9,10,Entrato
10,11,Inutilizzato
11,12,Inutilizzato
12,13,Inutilizzato
13,14,Entrato
14,15,Inutilizzato
15,16,Inutilizzato
16,17,Inutilizzato
17,18,Entrato
18,19,Entrato
19,20,Titolare
20,21,Titolare
21,22,Entrato
22,23,Entrato
23,24,Entrato
24,25,Inutilizzato
25,26,Inutilizzato
26,27,Inutilizzato
27,28,Inutilizzato
28,29,Entrato
29,30,Inutilizzato
30,31,Inutilizzato
31,32,Entrato
32,33,Inutilizzato
33,34,Infortunato
34,35,Entrato
35,36,Inutilizzato
36,37,Entrato
37,38,Titolare
