,Giornata,Status
0,1,Inutilizzato
1,2,Inutilizzato
2,3,Inutilizzato
3,4,Entrato
4,5,Entrato
5,6,Entrato
6,7,Inutilizzato
7,8,Entrato
8,9,Inutilizzato
9,10,Entrato
10,11,Entrato
11,12,Entrato
12,13,Inutilizzato
13,14,Entrato
14,15,Entrato
15,16,Entrato
16,17,Inutilizzato
17,18,Entrato
18,19,Inutilizzato
19,20,Titolare
20,21,Titolare
21,22,Entrato
22,23,Titolare
23,24,Entrato
24,25,Entrato
25,26,Entrato
26,27,Inutilizzato
27,28,Entrato
28,29,Entrato
29,30,Entrato
30,31,Entrato
31,32,Infortunato
32,33,Infortunato
33,34,Infortunato
34,35,Infortunato
35,36,Infortunato
36,37,Inutilizzato
37,38,Inutilizzato
