,Giornata,Status
0,1,Inutilizzato
1,2,Titolare
2,3,Titolare
3,4,Titolare
4,5,Entrato
5,6,Entrato
6,7,Entrato
7,8,Titolare
8,9,Titolare
9,10,Entrato
10,11,Titolare
11,12,Entrato
12,13,Entrato
13,14,Entrato
14,15,Titolare
15,16,Titolare
16,17,Titolare
17,18,Entrato
18,19,Inutilizzato
19,20,Titolare
20,21,Titolare
21,22,Titolare
22,23,Titolare
23,24,Entrato
24,25,Titolare
25,26,Titolare
26,27,Titolare
27,28,Titolare
28,29,Entrato
29,30,Titolare
30,31,Squalificato
31,32,Titolare
32,33,Titolare
33,34,Titolare
34,35,Titolare
35,36,Titolare
36,37,Inutilizzato
37,38,Inutilizzato
