,Giornata,Status
0,1,Titolare
1,2,Titolare
2,3,Inutilizzato
3,4,Entrato
4,5,Titolare
5,6,Inutilizzato
6,7,Inutilizzato
7,8,Infortunato
8,9,Infortunato
9,10,Infortunato
10,11,Infortunato
11,12,Infortunato
12,13,Entrato
13,14,Entrato
14,15,Entrato
15,16,Titolare
16,17,Titolare
17,18,Entrato
18,19,Entrato
19,20,Titolare
20,21,Inutilizzato
21,22,Infortunato
22,23,Infortunato
23,24,Inutilizzato
24,25,Inutilizzato
25,26,Inutilizzato
26,27,Inutilizzato
27,28,Inutilizzato
28,29,Entrato
29,30,Entrato
30,31,Inutilizzato
31,32,Inutilizzato
32,33,Entrato
33,34,Entrato
34,35,Inutilizzato
35,36,Inutilizzato
36,37,Entrato
37,38,Titolare
