,Giornata,Status
0,1,Titolare
1,2,Titolare
2,3,Entrato
3,4,Entrato
4,5,Titolare
5,6,Inutilizzato
6,7,Inutilizzato
7,8,Inutilizzato
8,9,Entrato
9,10,Titolare
10,11,Inutilizzato
11,12,Inutilizzato
12,13,Entrato
13,14,Infortunato
14,15,Infortunato
15,16,Infortunato
16,17,Inutilizzato
17,18,Entrato
18,19,Entrato
19,20,Inutilizzato
20,21,Inutilizzato
21,22,Inutilizzato
22,23,Inutilizzato
23,24,Inutilizzato
24,25,Inutilizzato
25,26,Inutilizzato
26,27,Inutilizzato
27,28,Inutilizzato
28,29,Entrato
29,30,Titolare
30,31,Entrato
31,32,Inutilizzato
32,33,Entrato
33,34,Inutilizzato
34,35,Titolare
35,36,Entrato
36,37,Entrato
37,38,Titolare
