,Giornata,Status
0,1,Titolare
1,2,Entrato
2,3,Titolare
3,4,Entrato
4,5,Titolare
5,6,Titolare
6,7,Titolare
7,8,Titolare
8,9,Titolare
9,10,Titolare
10,11,Inutilizzato
11,12,Infortunato
12,13,Titolare
13,14,Inutilizzato
14,15,Titolare
15,16,Entrato
16,17,Inutilizzato
17,18,Inutilizzato
18,19,Inutilizzato
19,20,Infortunato
20,21,Inutilizzato
21,22,Inutilizzato
22,23,Inutilizzato
23,24,Inutilizzato
24,25,Inutilizzato
25,26,Inutilizzato
26,27,Inutilizzato
27,28,Inutilizzato
28,29,Entrato
29,30,Inutilizzato
30,31,Inutilizzato
31,32,Inutilizzato
32,33,Inutilizzato
33,34,Titolare
34,35,Titolare
35,36,Titolare
36,37,Infortunato
37,38,Infortunato
