,Giornata,Status
0,1,Infortunato
1,2,Infortunato
2,3,Entrato
3,4,Infortunato
4,5,Infortunato
5,6,Infortunato
6,7,Infortunato
7,8,Entrato
8,9,Titolare
9,10,Entrato
10,11,Titolare
11,12,Titolare
12,13,Titolare
13,14,Titolare
14,15,Titolare
15,16,Inutilizzato
16,17,Titolare
17,18,Titolare
18,19,Infortunato
19,20,Entrato
20,21,Titolare
21,22,Titolare
22,23,Titolare
23,24,Infortunato
24,25,Infortunato
25,26,Infortunato
26,27,Infortunato
27,28,Entrato
28,29,Entrato
29,30,Entrato
30,31,Entrato
31,32,Infortunato
32,33,Infortunato
33,34,Entrato
34,35,Entrato
35,36,Entrato
36,37,Inutilizzato
37,38,Entrato
