,Giornata,Status
0,1,Titolare
1,2,Titolare
2,3,Entrato
3,4,Entrato
4,5,Entrato
5,6,Entrato
6,7,Entrato
7,8,Titolare
8,9,Titolare
9,10,Entrato
10,11,Titolare
11,12,Entrato
12,13,Titolare
13,14,Inutilizzato
14,15,Titolare
15,16,Entrato
16,17,Entrato
17,18,Titolare
18,19,Entrato
19,20,Inutilizzato
20,21,Entrato
21,22,Inutilizzato
22,23,Infortunato
23,24,Infortunato
24,25,Infortunato
25,26,Infortunato
26,27,Infortunato
27,28,Infortunato
28,29,Infortunato
29,30,Infortunato
30,31,Infortunato
31,32,Infortunato
32,33,Infortunato
33,34,Infortunato
34,35,Infortunato
35,36,Infortunato
36,37,Infortunato
37,38,Entrato
