,Giornata,Status
0,1,Titolare
1,2,Titolare
2,3,Titolare
3,4,Titolare
4,5,Titolare
5,6,Titolare
6,7,Titolare
7,8,Titolare
8,9,Titolare
9,10,Titolare
10,11,Inutilizzato
11,12,Titolare
12,13,Titolare
13,14,Titolare
14,15,Titolare
15,16,Infortunato
16,17,Entrato
17,18,Infortunato
18,19,Infortunato
19,20,Titolare
20,21,Titolare
21,22,Infortunato
22,23,Entrato
23,24,Titolare
24,25,Titolare
25,26,Infortunato
26,27,Titolare
27,28,Titolare
28,29,Entrato
29,30,Titolare
30,31,Titolare
31,32,Titolare
32,33,Titolare
33,34,Titolare
34,35,Titolare
35,36,Titolare
36,37,Titolare
37,38,Entrato
