,Giornata,Status
0,1,Titolare
1,2,Titolare
2,3,Titolare
3,4,Titolare
4,5,Entrato
5,6,Inutilizzato
6,7,Inutilizzato
7,8,Inutilizzato
8,9,Titolare
9,10,Titolare
10,11,Inutilizzato
11,12,Entrato
12,13,Entrato
13,14,Inutilizzato
14,15,Inutilizzato
15,16,Inutilizzato
16,17,Titolare
17,18,Inutilizzato
18,19,Inutilizzato
19,20,Titolare
20,21,Titolare
21,22,Titolare
22,23,Titolare
23,24,Inutilizzato
24,25,Entrato
25,26,Inutilizzato
26,27,Titolare
27,28,Squalificato
28,29,Inutilizzato
29,30,Inutilizzato
30,31,Entrato
31,32,Entrato
32,33,Titolare
33,34,Inutilizzato
34,35,Inutilizzato
35,36,Entrato
36,37,Inutilizzato
37,38,Inutilizzato
