,Giornata,Status
0,1,Entrato
1,2,Titolare
2,3,Infortunato
3,4,Infortunato
4,5,Infortunato
5,6,Infortunato
6,7,Inutilizzato
7,8,Inutilizzato
8,9,Inutilizzato
9,10,Inutilizzato
10,11,Inutilizzato
11,12,Entrato
12,13,Inutilizzato
13,14,Inutilizzato
14,15,Entrato
15,16,Inutilizzato
16,17,Inutilizzato
17,18,Inutilizzato
18,19,Inutilizzato
19,20,Inutilizzato
20,21,Inutilizzato
21,22,Inutilizzato
22,23,Inutilizzato
23,24,Inutilizzato
24,25,Inutilizzato
25,26,Inutilizzato
26,27,Inutilizzato
27,28,Inutilizzato
28,29,Entrato
29,30,Titolare
30,31,Titolare
31,32,Entrato
32,33,Titolare
33,34,Infortunato
34,35,Inutilizzato
35,36,Titolare
36,37,Titolare
37,38,Inutilizzato
