,Giornata,Status
0,1,Entrato
1,2,Entrato
2,3,Entrato
3,4,Inutilizzato
4,5,Inutilizzato
5,6,Inutilizzato
6,7,Inutilizzato
7,8,Inutilizzato
8,9,Inutilizzato
9,10,Inutilizzato
10,11,Titolare
11,12,Inutilizzato
12,13,Inutilizzato
13,14,Inutilizzato
14,15,Titolare
15,16,Entrato
16,17,Entrato
17,18,Entrato
18,19,Titolare
19,20,Entrato
20,21,Inutilizzato
21,22,Entrato
22,23,Entrato
23,24,Titolare
24,25,Titolare
25,26,Inutilizzato
26,27,Entrato
27,28,Entrato
28,29,Titolare
29,30,Entrato
30,31,Entrato
31,32,Entrato
32,33,Entrato
33,34,Inutilizzato
34,35,Entrato
35,36,Inutilizzato
36,37,Inutilizzato
37,38,Inutilizzato
