,Giornata,Status
0,1,Titolare
1,2,Titolare
2,3,Infortunato
3,4,Entrato
4,5,Inutilizzato
5,6,Entrato
6,7,Entrato
7,8,Inutilizzato
8,9,Titolare
9,10,Inutilizzato
10,11,Inutilizzato
11,12,Inutilizzato
12,13,Inutilizzato
13,14,Inutilizzato
14,15,Entrato
15,16,Entrato
16,17,Entrato
17,18,Entrato
18,19,Inutilizzato
19,20,Inutilizzato
20,21,Titolare
21,22,Infortunato
22,23,Entrato
23,24,Inutilizzato
24,25,Inutilizzato
25,26,Inutilizzato
26,27,Inutilizzato
27,28,Inutilizzato
28,29,Inutilizzato
29,30,Inutilizzato
30,31,Inutilizzato
31,32,Entrato
32,33,Inutilizzato
33,34,Inutilizzato
34,35,Inutilizzato
35,36,Inutilizzato
36,37,Inutilizzato
37,38,Inutilizzato
