,Giornata,Status
0,1,Titolare
1,2,Titolare
2,3,Titolare
3,4,Titolare
4,5,Titolare
5,6,Titolare
6,7,Titolare
7,8,Titolare
8,9,Infortunato
9,10,Infortunato
10,11,Infortunato
11,12,Infortunato
12,13,Titolare
13,14,Entrato
14,15,Titolare
15,16,Entrato
16,17,Titolare
17,18,Titolare
18,19,Entrato
19,20,Entrato
20,21,Entrato
21,22,Inutilizzato
22,23,Infortunato
23,24,Titolare
24,25,Inutilizzato
25,26,Entrato
26,27,Entrato
27,28,Inutilizzato
28,29,Infortunato
29,30,Infortunato
30,31,Titolare
31,32,Titolare
32,33,Titolare
33,34,Entrato
34,35,Inutilizzato
35,36,Entrato
36,37,Entrato
37,38,Titolare
