,Giornata,Status
0,1,Inutilizzato
1,2,Entrato
2,3,Inutilizzato
3,4,Inutilizzato
4,5,Inutilizzato
5,6,Inutilizzato
6,7,Inutilizzato
7,8,Entrato
8,9,Inutilizzato
9,10,Inutilizzato
10,11,Entrato
11,12,Titolare
12,13,Inutilizzato
13,14,Inutilizzato
14,15,Entrato
15,16,Titolare
16,17,Titolare
17,18,Titolare
18,19,Titolare
19,20,Titolare
20,21,Titolare
21,22,Titolare
22,23,Titolare
23,24,Titolare
24,25,Entrato
25,26,Titolare
26,27,Entrato
27,28,Inutilizzato
28,29,Inutilizzato
29,30,Inutilizzato
30,31,Titolare
31,32,Inutilizzato
32,33,Entrato
33,34,Titolare
34,35,Inutilizzato
35,36,Inutilizzato
36,37,Inutilizzato
37,38,Titolare
