,Giornata,Status
0,1,Inutilizzato
1,2,Infortunato
2,3,Infortunato
3,4,Infortunato
4,5,Infortunato
5,6,Infortunato
6,7,Entrato
7,8,Inutilizzato
8,9,Entrato
9,10,Entrato
10,11,Inutilizzato
11,12,Entrato
12,13,Inutilizzato
13,14,Entrato
14,15,Inutilizzato
15,16,Entrato
16,17,Entrato
17,18,Entrato
18,19,Entrato
19,20,Inutilizzato
20,21,Inutilizzato
21,22,Inutilizzato
22,23,Inutilizzato
23,24,Inutilizzato
24,25,Inutilizzato
25,26,Inutilizzato
26,27,Infortunato
27,28,Infortunato
28,29,Infortunato
29,30,Infortunato
30,31,Infortunato
31,32,Infortunato
32,33,Infortunato
33,34,Infortunato
34,35,Infortunato
35,36,Infortunato
36,37,Infortunato
37,38,Infortunato
