,Giornata,Status
0,1,Titolare
1,2,Entrato
2,3,Entrato
3,4,Entrato
4,5,Titolare
5,6,Titolare
6,7,Titolare
7,8,Entrato
8,9,Entrato
9,10,Titolare
10,11,Entrato
11,12,Entrato
12,13,Infortunato
13,14,Infortunato
14,15,Infortunato
15,16,Infortunato
16,17,Entrato
17,18,Inutilizzato
18,19,Inutilizzato
19,20,Inutilizzato
20,21,Inutilizzato
21,22,Infortunato
22,23,Infortunato
23,24,Inutilizzato
24,25,Inutilizzato
25,26,Inutilizzato
26,27,Entrato
27,28,Inutilizzato
28,29,Entrato
29,30,Inutilizzato
30,31,Inutilizzato
31,32,Inutilizzato
32,33,Inutilizzato
33,34,Inutilizzato
34,35,Inutilizzato
35,36,Inutilizzato
36,37,Inutilizzato
37,38,Inutilizzato
