,Giornata,Status
0,1,Inutilizzato
1,2,Inutilizzato
2,3,Inutilizzato
3,4,Entrato
4,5,Titolare
5,6,Titolare
6,7,Inutilizzato
7,8,Inutilizzato
8,9,Entrato
9,10,Titolare
10,11,Inutilizzato
11,12,Entrato
12,13,Titolare
13,14,Entrato
14,15,Titolare
15,16,Inutilizzato
16,17,Inutilizzato
17,18,Entrato
18,19,Entrato
19,20,Titolare
20,21,Titolare
21,22,Titolare
22,23,Titolare
23,24,Titolare
24,25,Entrato
25,26,Inutilizzato
26,27,Inutilizzato
27,28,Titolare
28,29,Titolare
29,30,Titolare
30,31,Titolare
31,32,Titolare
32,33,Titolare
33,34,Titolare
34,35,Titolare
35,36,Titolare
36,37,Titolare
37,38,Titolare
