,Giornata,Status
0,1,Inutilizzato
1,2,Inutilizzato
2,3,Inutilizzato
3,4,Inutilizzato
4,5,Entrato
5,6,Titolare
6,7,Titolare
7,8,Titolare
8,9,Titolare
9,10,Titolare
10,11,Titolare
11,12,Squalificato
12,13,Titolare
13,14,Infortunato
14,15,Inutilizzato
15,16,Entrato
16,17,Titolare
17,18,Titolare
18,19,Entrato
19,20,Entrato
20,21,Titolare
21,22,Infortunato
22,23,Infortunato
23,24,Titolare
24,25,Entrato
25,26,Titolare
26,27,Titolare
27,28,Titolare
28,29,Titolare
29,30,Inutilizzato
30,31,Inutilizzato
31,32,Entrato
32,33,Entrato
33,34,Entrato
34,35,Entrato
35,36,Entrato
36,37,Titolare
37,38,Entrato
