,Giornata,Status
0,1,Inutilizzato
1,2,Inutilizzato
2,3,Entrato
3,4,Entrato
4,5,Titolare
5,6,Entrato
6,7,Titolare
7,8,Titolare
8,9,Inutilizzato
9,10,Infortunato
10,11,Infortunato
11,12,Infortunato
12,13,Entrato
13,14,Entrato
14,15,Titolare
15,16,Entrato
16,17,Entrato
17,18,Titolare
18,19,Titolare
19,20,Entrato
20,21,Titolare
21,22,Titolare
22,23,Entrato
23,24,Entrato
24,25,Entrato
25,26,Entrato
26,27,Titolare
27,28,Entrato
28,29,Titolare
29,30,Entrato
30,31,Entrato
31,32,Entrato
32,33,Entrato
33,34,Entrato
34,35,Entrato
35,36,Titolare
36,37,Inutilizzato
37,38,Inutilizzato
