,Giornata,Status
0,1,Inutilizzato
1,2,Inutilizzato
2,3,Titolare
3,4,Titolare
4,5,Titolare
5,6,Entrato
6,7,Titolare
7,8,Titolare
8,9,Titolare
9,10,Entrato
10,11,Infortunato
11,12,Infortunato
12,13,Titolare
13,14,Titolare
14,15,Titolare
15,16,Titolare
16,17,Titolare
17,18,Entrato
18,19,Entrato
19,20,Inutilizzato
20,21,Inutilizzato
21,22,Inutilizzato
22,23,Inutilizzato
23,24,Inutilizzato
24,25,Entrato
25,26,Inutilizzato
26,27,Inutilizzato
27,28,Inutilizzato
28,29,Entrato
29,30,Entrato
30,31,Entrato
31,32,Entrato
32,33,Titolare
33,34,Titolare
34,35,Titolare
35,36,Entrato
36,37,Inutilizzato
37,38,Inutilizzato
