,Giornata,Status
0,1,Inutilizzato
1,2,Inutilizzato
2,3,Inutilizzato
3,4,Entrato
4,5,Inutilizzato
5,6,Titolare
6,7,Titolare
7,8,Inutilizzato
8,9,Titolare
9,10,Titolare
10,11,Entrato
11,12,Titolare
12,13,Entrato
13,14,Titolare
14,15,Titolare
15,16,Titolare
16,17,Entrato
17,18,Titolare
18,19,Titolare
19,20,Squalificato
20,21,Entrato
21,22,Titolare
22,23,Entrato
23,24,Infortunato
24,25,Infortunato
25,26,Infortunato
26,27,Infortunato
27,28,Titolare
28,29,Entrato
29,30,Entrato
30,31,Entrato
31,32,Entrato
32,33,Entrato
33,34,Squalificato
34,35,Entrato
35,36,Titolare
36,37,Inutilizzato
37,38,Inutilizzato
