,Giornata,Status
0,1,Infortunato
1,2,Inutilizzato
2,3,Titolare
3,4,Inutilizzato
4,5,Infortunato
5,6,Infortunato
6,7,Infortunato
7,8,Titolare
8,9,Titolare
9,10,Titolare
10,11,Titolare
11,12,Titolare
12,13,Titolare
13,14,Titolare
14,15,Titolare
15,16,Titolare
16,17,Titolare
17,18,Entrato
18,19,Inutilizzato
19,20,Infortunato
20,21,Entrato
21,22,Entrato
22,23,Titolare
23,24,Infortunato
24,25,Inutilizzato
25,26,Inutilizzato
26,27,Inutilizzato
27,28,Entrato
28,29,Entrato
29,30,Titolare
30,31,Titolare
31,32,Entrato
32,33,Titolare
33,34,Titolare
34,35,Entrato
35,36,Entrato
36,37,Entrato
37,38,Entrato
