,Giornata,Status
0,1,Titolare
1,2,Titolare
2,3,Infortunato
3,4,Infortunato
4,5,Infortunato
5,6,Infortunato
6,7,Infortunato
7,8,Entrato
8,9,Titolare
9,10,Titolare
10,11,Titolare
11,12,Titolare
12,13,Entrato
13,14,Inutilizzato
14,15,Titolare
15,16,Entrato
16,17,Titolare
17,18,Titolare
18,19,Entrato
19,20,Titolare
20,21,Inutilizzato
21,22,Titolare
22,23,Titolare
23,24,Entrato
24,25,Entrato
25,26,Inutilizzato
26,27,Inutilizzato
27,28,Entrato
28,29,Entrato
29,30,Entrato
30,31,Inutilizzato
31,32,Entrato
32,33,Entrato
33,34,Entrato
34,35,Entrato
35,36,Titolare
36,37,Titolare
37,38,Titolare
