,Giornata,Status
0,1,Inutilizzato
1,2,Inutilizzato
2,3,Inutilizzato
3,4,Inutilizzato
4,5,Inutilizzato
5,6,Inutilizzato
6,7,Inutilizzato
7,8,Inutilizzato
8,9,Inutilizzato
9,10,Entrato
10,11,Inutilizzato
11,12,Titolare
12,13,Titolare
13,14,Entrato
14,15,Inutilizzato
15,16,Titolare
16,17,Titolare
17,18,Entrato
18,19,Inutilizzato
19,20,Inutilizzato
20,21,Inutilizzato
21,22,Titolare
22,23,Inutilizzato
23,24,Inutilizzato
24,25,Titolare
25,26,Titolare
26,27,Titolare
27,28,Titolare
28,29,Squalificato
29,30,Inutilizzato
30,31,Entrato
31,32,Titolare
32,33,Inutilizzato
33,34,Inutilizzato
34,35,Titolare
35,36,Inutilizzato
36,37,Titolare
37,38,Titolare
