,Giornata,Status
0,1,Infortunato
1,2,Entrato
2,3,Entrato
3,4,Inutilizzato
4,5,Inutilizzato
5,6,Titolare
6,7,Inutilizzato
7,8,Entrato
8,9,Inutilizzato
9,10,Titolare
10,11,Inutilizzato
11,12,Entrato
12,13,Inutilizzato
13,14,Entrato
14,15,Entrato
15,16,Entrato
16,17,Titolare
17,18,Titolare
18,19,Titolare
19,20,Titolare
20,21,Titolare
21,22,Entrato
22,23,Entrato
23,24,Titolare
24,25,Entrato
25,26,Entrato
26,27,Entrato
27,28,Titolare
28,29,Inutilizzato
29,30,Inutilizzato
30,31,Infortunato
31,32,Entrato
32,33,Entrato
33,34,Entrato
34,35,Entrato
35,36,Entrato
36,37,Titolare
37,38,Titolare
