,Giornata,Status
0,1,Titolare
1,2,Titolare
2,3,Entrato
3,4,Titolare
4,5,Entrato
5,6,Inutilizzato
6,7,Entrato
7,8,Entrato
8,9,Entrato
9,10,Titolare
10,11,Inutilizzato
11,12,Infortunato
12,13,Titolare
13,14,Entrato
14,15,Titolare
15,16,Entrato
16,17,Entrato
17,18,Inutilizzato
18,19,Entrato
19,20,Entrato
20,21,Entrato
21,22,Entrato
22,23,Entrato
23,24,Titolare
24,25,Titolare
25,26,Infortunato
26,27,Infortunato
27,28,Infortunato
28,29,Entrato
29,30,Entrato
30,31,Titolare
31,32,Titolare
32,33,Titolare
33,34,Titolare
34,35,Titolare
35,36,Titolare
36,37,Titolare
37,38,Titolare
