,Giornata,Status
0,1,Titolare
1,2,Titolare
2,3,Titolare
3,4,Titolare
4,5,Entrato
5,6,Titolare
6,7,Titolare
7,8,Titolare
8,9,Titolare
9,10,Entrato
10,11,Entrato
11,12,Entrato
12,13,Inutilizzato
13,14,Entrato
14,15,Inutilizzato
15,16,Entrato
16,17,Entrato
17,18,Entrato
18,19,Entrato
19,20,Entrato
20,21,Entrato
21,22,Entrato
22,23,Titolare
23,24,Titolare
24,25,Titolare
25,26,Squalificato
26,27,Titolare
27,28,Titolare
28,29,Titolare
29,30,Titolare
30,31,Titolare
31,32,Titolare
32,33,Titolare
33,34,Titolare
34,35,Entrato
35,36,Entrato
36,37,Entrato
37,38,Entrato
