,Giornata,Status
0,1,Titolare
1,2,Titolare
2,3,Titolare
3,4,Entrato
4,5,Titolare
5,6,Titolare
6,7,Entrato
7,8,Titolare
8,9,Titolare
9,10,Titolare
10,11,Titolare
11,12,Titolare
12,13,Entrato
13,14,Inutilizzato
14,15,Inutilizzato
15,16,Infortunato
16,17,Inutilizzato
17,18,Inutilizzato
18,19,Inutilizzato
19,20,Inutilizzato
20,21,Inutilizzato
21,22,Inutilizzato
22,23,Inutilizzato
23,24,Inutilizzato
24,25,Titolare
25,26,Inutilizzato
26,27,Inutilizzato
27,28,Inutilizzato
28,29,Inutilizzato
29,30,Inutilizzato
30,31,Entrato
31,32,Inutilizzato
32,33,Inutilizzato
33,34,Inutilizzato
34,35,Inutilizzato
35,36,Entrato
36,37,Inutilizzato
37,38,Inutilizzato
