,Giornata,Status
0,1,Titolare
1,2,Titolare
2,3,Infortunato
3,4,Infortunato
4,5,Infortunato
5,6,Infortunato
6,7,Infortunato
7,8,Inutilizzato
8,9,Inutilizzato
9,10,Inutilizzato
10,11,Inutilizzato
11,12,Inutilizzato
12,13,Inutilizzato
13,14,Titolare
14,15,Titolare
15,16,Titolare
16,17,Infortunato
17,18,Entrato
18,19,Titolare
19,20,Titolare
20,21,Titolare
21,22,Titolare
22,23,Titolare
23,24,Titolare
24,25,Titolare
25,26,Infortunato
26,27,Entrato
27,28,Titolare
28,29,Titolare
29,30,Titolare
30,31,Titolare
31,32,Titolare
32,33,Titolare
33,34,Infortunato
34,35,Infortunato
35,36,Entrato
36,37,Entrato
37,38,Titolare
