,Giornata,Status
0,1,Entrato
1,2,Entrato
2,3,Titolare
3,4,Titolare
4,5,Entrato
5,6,Titolare
6,7,Titolare
7,8,Titolare
8,9,Titolare
9,10,Titolare
10,11,Entrato
11,12,Titolare
12,13,Titolare
13,14,Titolare
14,15,Titolare
15,16,Titolare
16,17,Titolare
17,18,Entrato
18,19,Entrato
19,20,Titolare
20,21,Titolare
21,22,Entrato
22,23,Titolare
23,24,Squalificato
24,25,Titolare
25,26,Titolare
26,27,Entrato
27,28,Titolare
28,29,Titolare
29,30,Infortunato
30,31,Titolare
31,32,Infortunato
32,33,Infortunato
33,34,Infortunato
34,35,Infortunato
35,36,Infortunato
36,37,Titolare
37,38,Titolare
