,Giornata,Status
0,1,Entrato
1,2,Titolare
2,3,Entrato
3,4,Entrato
4,5,Titolare
5,6,Entrato
6,7,Titolare
7,8,Entrato
8,9,Entrato
9,10,Titolare
10,11,Titolare
11,12,Entrato
12,13,Titolare
13,14,Titolare
14,15,Titolare
15,16,Titolare
16,17,Titolare
17,18,Titolare
18,19,Titolare
19,20,Infortunato
20,21,Infortunato
21,22,Titolare
22,23,Titolare
23,24,Infortunato
24,25,Infortunato
25,26,Infortunato
26,27,Infortunato
27,28,Entrato
28,29,Titolare
29,30,Inutilizzato
30,31,Entrato
31,32,Entrato
32,33,Titolare
33,34,Titolare
34,35,Titolare
35,36,Titolare
36,37,Titolare
37,38,Infortunato
