,Giornata,Status
0,1,Entrato
1,2,Titolare
2,3,Titolare
3,4,Titolare
4,5,Titolare
5,6,Titolare
6,7,Titolare
7,8,Entrato
8,9,Entrato
9,10,Titolare
10,11,Titolare
11,12,Titolare
12,13,Titolare
13,14,Titolare
14,15,Titolare
15,16,Inutilizzato
16,17,Infortunato
17,18,Entrato
18,19,Entrato
19,20,Titolare
20,21,Entrato
21,22,Titolare
22,23,Titolare
23,24,Titolare
24,25,Titolare
25,26,Squalificato
26,27,Titolare
27,28,Titolare
28,29,Titolare
29,30,Titolare
30,31,Titolare
31,32,Titolare
32,33,Titolare
33,34,Titolare
34,35,Entrato
35,36,Titolare
36,37,Titolare
37,38,Infortunato
