,Giornata,Status
0,1,Inutilizzato
1,2,Titolare
2,3,Titolare
3,4,Titolare
4,5,Inutilizzato
5,6,Entrato
6,7,Inutilizzato
7,8,Inutilizzato
8,9,Titolare
9,10,Titolare
10,11,Inutilizzato
11,12,Inutilizzato
12,13,Titolare
13,14,Titolare
14,15,Titolare
15,16,Entrato
16,17,Titolare
17,18,Titolare
18,19,Titolare
19,20,Titolare
20,21,Squalificato
21,22,Inutilizzato
22,23,Infortunato
23,24,Infortunato
24,25,Infortunato
25,26,Inutilizzato
26,27,Titolare
27,28,Titolare
28,29,Titolare
29,30,Inutilizzato
30,31,Titolare
31,32,Squalificato
32,33,Titolare
33,34,Titolare
34,35,Titolare
35,36,Titolare
36,37,Titolare
37,38,Titolare
