,Giornata,Status
0,1,Entrato
1,2,Entrato
2,3,Inutilizzato
3,4,Titolare
4,5,Titolare
5,6,Titolare
6,7,Titolare
7,8,Titolare
8,9,Titolare
9,10,Titolare
10,11,Titolare
11,12,Titolare
12,13,Titolare
13,14,Entrato
14,15,Titolare
15,16,Inutilizzato
16,17,Entrato
17,18,Entrato
18,19,Titolare
19,20,Titolare
20,21,Titolare
21,22,Entrato
22,23,Infortunato
23,24,Titolare
24,25,Titolare
25,26,Entrato
26,27,Inutilizzato
27,28,Inutilizzato
28,29,Inutilizzato
29,30,Titolare
30,31,Inutilizzato
31,32,Titolare
32,33,Inutilizzato
33,34,Inutilizzato
34,35,Inutilizzato
35,36,Titolare
36,37,Titolare
37,38,Titolare
