,Giornata,Status
0,1,Titolare
1,2,Titolare
2,3,Titolare
3,4,Titolare
4,5,Entrato
5,6,Entrato
6,7,Titolare
7,8,Titolare
8,9,Inutilizzato
9,10,Titolare
10,11,Titolare
11,12,Titolare
12,13,Titolare
13,14,Titolare
14,15,Inutilizzato
15,16,Titolare
16,17,Inutilizzato
17,18,Entrato
18,19,Infortunato
19,20,Inutilizzato
20,21,Titolare
21,22,Inutilizzato
22,23,Entrato
23,24,Entrato
24,25,Entrato
25,26,Inutilizzato
26,27,Entrato
27,28,Inutilizzato
28,29,Titolare
29,30,Entrato
30,31,Entrato
31,32,Inutilizzato
32,33,Infortunato
33,34,Infortunato
34,35,Entrato
35,36,Titolare
36,37,Inutilizzato
37,38,Entrato
