,Giornata,Status
0,1,Entrato
1,2,Entrato
2,3,Inutilizzato
3,4,Inutilizzato
4,5,Titolare
5,6,Inutilizzato
6,7,Inutilizzato
7,8,Entrato
8,9,Inutilizzato
9,10,Inutilizzato
10,11,Inutilizzato
11,12,Titolare
12,13,Inutilizzato
13,14,Inutilizzato
14,15,Inutilizzato
15,16,Inutilizzato
16,17,Inutilizzato
17,18,Inutilizzato
18,19,Entrato
19,20,Inutilizzato
20,21,Inutilizzato
21,22,Inutilizzato
22,23,Inutilizzato
23,24,Inutilizzato
24,25,Inutilizzato
25,26,Inutilizzato
26,27,Inutilizzato
27,28,Entrato
28,29,Inutilizzato
29,30,Entrato
30,31,Inutilizzato
31,32,Entrato
32,33,Inutilizzato
33,34,Inutilizzato
34,35,Entrato
35,36,Inutilizzato
36,37,Entrato
37,38,Entrato
