,Giornata,Status
0,1,Inutilizzato
1,2,Entrato
2,3,Inutilizzato
3,4,Entrato
4,5,Inutilizzato
5,6,Titolare
6,7,Inutilizzato
7,8,Titolare
8,9,Inutilizzato
9,10,Inutilizzato
10,11,Inutilizzato
11,12,Inutilizzato
12,13,Inutilizzato
13,14,Inutilizzato
14,15,Inutilizzato
15,16,Inutilizzato
16,17,Entrato
17,18,Inutilizzato
18,19,Inutilizzato
19,20,Entrato
20,21,Entrato
21,22,Inutilizzato
22,23,Inutilizzato
23,24,Inutilizzato
24,25,Inutilizzato
25,26,Inutilizzato
26,27,Entrato
27,28,Inutilizzato
28,29,Inutilizzato
29,30,Inutilizzato
30,31,Inutilizzato
31,32,Inutilizzato
32,33,Inutilizzato
33,34,Inutilizzato
34,35,Inutilizzato
35,36,Inutilizzato
36,37,Inutilizzato
37,38,Inutilizzato
