,Giornata,Status
0,1,Titolare
1,2,Entrato
2,3,Inutilizzato
3,4,Inutilizzato
4,5,Inutilizzato
5,6,Entrato
6,7,Entrato
7,8,Entrato
8,9,Titolare
9,10,Inutilizzato
10,11,Entrato
11,12,Inutilizzato
12,13,Entrato
13,14,Entrato
14,15,Entrato
15,16,Titolare
16,17,Entrato
17,18,Titolare
18,19,Inutilizzato
19,20,Entrato
20,21,Entrato
21,22,Titolare
22,23,Entrato
23,24,Inutilizzato
24,25,Titolare
25,26,Entrato
26,27,Titolare
27,28,Titolare
28,29,Inutilizzato
29,30,Inutilizzato
30,31,Entrato
31,32,Entrato
32,33,Titolare
33,34,Titolare
34,35,Titolare
35,36,Entrato
36,37,Entrato
37,38,Squalificato
