,Giornata,Status
0,1,Titolare
1,2,Titolare
2,3,Entrato
3,4,Titolare
4,5,Titolare
5,6,Titolare
6,7,Titolare
7,8,Entrato
8,9,Titolare
9,10,Titolare
10,11,Entrato
11,12,Titolare
12,13,Entrato
13,14,Titolare
14,15,Inutilizzato
15,16,Titolare
16,17,Squalificato
17,18,Entrato
18,19,Titolare
19,20,Entrato
20,21,Titolare
21,22,Inutilizzato
22,23,Infortunato
23,24,Titolare
24,25,Entrato
25,26,Titolare
26,27,Inutilizzato
27,28,Entrato
28,29,Titolare
29,30,Infortunato
30,31,Titolare
31,32,Entrato
32,33,Titolare
33,34,Infortunato
34,35,Entrato
35,36,Titolare
36,37,Entrato
37,38,Squalificato
