,Giornata,Status
0,1,Inutilizzato
1,2,Inutilizzato
2,3,Inutilizzato
3,4,Entrato
4,5,Entrato
5,6,Entrato
6,7,Titolare
7,8,Entrato
8,9,Inutilizzato
9,10,Inutilizzato
10,11,Entrato
11,12,Entrato
12,13,Entrato
13,14,Inutilizzato
14,15,Titolare
15,16,Titolare
16,17,Titolare
17,18,Titolare
18,19,Titolare
19,20,Infortunato
20,21,Titolare
21,22,Titolare
22,23,Titolare
23,24,Titolare
24,25,Titolare
25,26,Titolare
26,27,Squalificato
27,28,Titolare
28,29,Entrato
29,30,Entrato
30,31,Entrato
31,32,Titolare
32,33,Titolare
33,34,Titolare
34,35,Titolare
35,36,Entrato
36,37,Inutilizzato
37,38,Inutilizzato
