,Giornata,Status
0,1,Titolare
1,2,Titolare
2,3,Titolare
3,4,Entrato
4,5,Titolare
5,6,Entrato
6,7,Titolare
7,8,Titolare
8,9,Infortunato
9,10,Infortunato
10,11,Infortunato
11,12,Infortunato
12,13,Infortunato
13,14,Infortunato
14,15,Infortunato
15,16,Infortunato
16,17,Inutilizzato
17,18,Entrato
18,19,Entrato
19,20,Inutilizzato
20,21,Titolare
21,22,Titolare
22,23,Titolare
23,24,Titolare
24,25,Squalificato
25,26,Titolare
26,27,Squalificato
27,28,Titolare
28,29,Titolare
29,30,Titolare
30,31,Titolare
31,32,Infortunato
32,33,Infortunato
33,34,Inutilizzato
34,35,Inutilizzato
35,36,Titolare
36,37,Inutilizzato
37,38,Entrato
