,Giornata,Status
0,1,Inutilizzato
1,2,Inutilizzato
2,3,Inutilizzato
3,4,Inutilizzato
4,5,Inutilizzato
5,6,Inutilizzato
6,7,Inutilizzato
7,8,Inutilizzato
8,9,Entrato
9,10,Entrato
10,11,Entrato
11,12,Entrato
12,13,Entrato
13,14,Titolare
14,15,Entrato
15,16,Titolare
16,17,Entrato
17,18,Entrato
18,19,Infortunato
19,20,Infortunato
20,21,Infortunato
21,22,Infortunato
22,23,Infortunato
23,24,Entrato
24,25,Titolare
25,26,Entrato
26,27,Entrato
27,28,Titolare
28,29,Entrato
29,30,Titolare
30,31,Titolare
31,32,Titolare
32,33,Entrato
33,34,Entrato
34,35,Entrato
35,36,Titolare
36,37,Titolare
37,38,Titolare
