,Giornata,Status
0,1,Squalificato
1,2,Titolare
2,3,Titolare
3,4,Inutilizzato
4,5,Titolare
5,6,Entrato
6,7,Titolare
7,8,Inutilizzato
8,9,Titolare
9,10,Titolare
10,11,Entrato
11,12,Titolare
12,13,Titolare
13,14,Titolare
14,15,Infortunato
15,16,Infortunato
16,17,Infortunato
17,18,Titolare
18,19,Entrato
19,20,Titolare
20,21,Titolare
21,22,Titolare
22,23,Titolare
23,24,Entrato
24,25,Titolare
25,26,Entrato
26,27,Infortunato
27,28,Infortunato
28,29,Infortunato
29,30,Infortunato
30,31,Infortunato
31,32,Infortunato
32,33,Infortunato
33,34,Infortunato
34,35,Infortunato
35,36,Infortunato
36,37,Infortunato
37,38,Entrato
