,Giornata,Status
0,1,Entrato
1,2,Inutilizzato
2,3,Inutilizzato
3,4,Titolare
4,5,Inutilizzato
5,6,Titolare
6,7,Inutilizzato
7,8,Inutilizzato
8,9,Inutilizzato
9,10,Inutilizzato
10,11,Inutilizzato
11,12,Entrato
12,13,Inutilizzato
13,14,Inutilizzato
14,15,Inutilizzato
15,16,Entrato
16,17,Inutilizzato
17,18,Entrato
18,19,Entrato
19,20,Entrato
20,21,Titolare
21,22,Entrato
22,23,Inutilizzato
23,24,Entrato
24,25,Entrato
25,26,Entrato
26,27,Titolare
27,28,Titolare
28,29,Titolare
29,30,Titolare
30,31,Titolare
31,32,Titolare
32,33,Entrato
33,34,Entrato
34,35,Entrato
35,36,Titolare
36,37,Entrato
37,38,Entrato
