,Giornata,Status
0,1,Titolare
1,2,Titolare
2,3,Infortunato
3,4,Inutilizzato
4,5,Inutilizzato
5,6,Inutilizzato
6,7,Inutilizzato
7,8,Inutilizzato
8,9,Inutilizzato
9,10,Inutilizzato
10,11,Inutilizzato
11,12,Inutilizzato
12,13,Inutilizzato
13,14,Inutilizzato
14,15,Inutilizzato
15,16,Inutilizzato
16,17,Inutilizzato
17,18,Inutilizzato
18,19,Inutilizzato
19,20,Infortunato
20,21,Infortunato
21,22,Titolare
22,23,Titolare
23,24,Inutilizzato
24,25,Inutilizzato
25,26,Inutilizzato
26,27,Inutilizzato
27,28,Inutilizzato
28,29,Infortunato
29,30,Infortunato
30,31,Infortunato
31,32,Inutilizzato
32,33,Titolare
33,34,Titolare
34,35,Inutilizzato
35,36,Inutilizzato
36,37,Inutilizzato
37,38,Titolare
