,Giornata,Status
0,1,Infortunato
1,2,Infortunato
2,3,Inutilizzato
3,4,Inutilizzato
4,5,Inutilizzato
5,6,Inutilizzato
6,7,Entrato
7,8,Entrato
8,9,Entrato
9,10,Entrato
10,11,Titolare
11,12,Entrato
12,13,Entrato
13,14,Titolare
14,15,Titolare
15,16,Titolare
16,17,Titolare
17,18,Entrato
18,19,Titolare
19,20,Titolare
20,21,Titolare
21,22,Titolare
22,23,Titolare
23,24,Entrato
24,25,Entrato
25,26,Titolare
26,27,Inutilizzato
27,28,Entrato
28,29,Inutilizzato
29,30,Entrato
30,31,Titolare
31,32,Entrato
32,33,Entrato
33,34,Titolare
34,35,Titolare
35,36,Titolare
36,37,Titolare
37,38,Entrato
