,Giornata,Status
0,1,Entrato
1,2,Entrato
2,3,Titolare
3,4,Titolare
4,5,Inutilizzato
5,6,Inutilizzato
6,7,Inutilizzato
7,8,Inutilizzato
8,9,Entrato
9,10,Entrato
10,11,Inutilizzato
11,12,Inutilizzato
12,13,Inutilizzato
13,14,Inutilizzato
14,15,Entrato
15,16,Inutilizzato
16,17,Titolare
17,18,Entrato
18,19,Titolare
19,20,Inutilizzato
20,21,Entrato
21,22,Entrato
22,23,Titolare
23,24,Infortunato
24,25,Infortunato
25,26,Infortunato
26,27,Entrato
27,28,Titolare
28,29,Infortunato
29,30,Infortunato
30,31,Entrato
31,32,Titolare
32,33,Entrato
33,34,Inutilizzato
34,35,Entrato
35,36,Inutilizzato
36,37,Inutilizzato
37,38,Inutilizzato
