,Giornata,Status
0,1,Squalificato
1,2,Inutilizzato
2,3,Inutilizzato
3,4,Inutilizzato
4,5,Inutilizzato
5,6,Inutilizzato
6,7,Inutilizzato
7,8,Inutilizzato
8,9,Inutilizzato
9,10,Inutilizzato
10,11,Inutilizzato
11,12,Entrato
12,13,Entrato
13,14,Inutilizzato
14,15,Inutilizzato
15,16,Inutilizzato
16,17,Titolare
17,18,Infortunato
18,19,Inutilizzato
19,20,Inutilizzato
20,21,Inutilizzato
21,22,Inutilizzato
22,23,Titolare
23,24,Inutilizzato
24,25,Inutilizzato
25,26,Inutilizzato
26,27,Inutilizzato
27,28,Inutilizzato
28,29,Titolare
29,30,Infortunato
30,31,Inutilizzato
31,32,Titolare
32,33,Infortunato
33,34,Infortunato
34,35,Infortunato
35,36,Infortunato
36,37,Infortunato
37,38,Infortunato
